epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,1399.37,0.96636,1.07181,0.7359,1.02479,0.6772,0.71967,0.69624,0.4642,0.66554,0.71017,0.67643,0.36407,1.17848,1.26715,1.02625,1.22651,0.0090496,0.0090496,0.0090496
50,1423.05,0.97091,1.08049,0.75097,1.02893,0.68766,0.66863,0.68059,0.46065,0.68961,0.65637,0.67077,0.35506,1.18196,1.24754,1.02746,1.25681,0.0090298,0.0090298,0.0090298
51,1446.68,0.96651,1.07212,0.72874,1.02563,0.65644,0.71016,0.6856,0.45798,0.65978,0.69943,0.66595,0.36104,1.16452,1.27893,0.97819,1.21227,0.00901,0.00901,0.00901
52,1470.07,0.97374,1.05866,0.74869,1.03705,0.67738,0.66697,0.66694,0.42855,0.65013,0.67104,0.64996,0.33479,1.23812,1.27231,1.09825,1.24752,0.0089902,0.0089902,0.0089902
53,1493.18,0.94466,1.07408,0.74304,1.01744,0.6541,0.73079,0.70445,0.47125,0.65567,0.74021,0.71064,0.38181,1.15179,1.17073,0.96462,1.20203,0.0089704,0.0089704,0.0089704
54,1516.41,0.96108,1.05021,0.72561,1.02836,0.70636,0.65983,0.69478,0.45625,0.71405,0.66356,0.68909,0.37052,1.18301,1.26327,0.99759,1.23922,0.0089506,0.0089506,0.0089506
55,1539.95,0.93722,1.05095,0.71354,1.02165,0.69128,0.72977,0.73433,0.48157,0.6874,0.72249,0.71748,0.3885,1.1532,1.20815,0.91458,1.22211,0.0089308,0.0089308,0.0089308
56,1563.43,0.92973,1.04895,0.6988,1.01023,0.6709,0.65825,0.67109,0.45132,0.68571,0.67019,0.68057,0.36952,1.1916,1.23423,1.02947,1.23134,0.008911,0.008911,0.008911
57,1584.78,0.93006,1.03639,0.70874,1.00991,0.68041,0.73501,0.72433,0.47831,0.69899,0.7344,0.72441,0.3884,1.19743,1.32394,0.9326,1.26611,0.0088912,0.0088912,0.0088912
58,1606.49,0.91759,1.02598,0.68758,1.00736,0.71384,0.69693,0.71606,0.48028,0.72228,0.70312,0.71327,0.39601,1.15559,1.25143,0.96263,1.21559,0.0088714,0.0088714,0.0088714
59,1628.35,0.91909,1.03913,0.68186,0.99917,0.69587,0.70334,0.68901,0.45218,0.6799,0.68755,0.66472,0.35765,1.17309,1.22207,1.00191,1.229,0.0088516,0.0088516,0.0088516
60,1650.07,0.91902,1.01539,0.69328,1.00561,0.72858,0.70317,0.71552,0.46613,0.7359,0.70215,0.7121,0.37585,1.20134,1.21636,0.96161,1.23329,0.0088318,0.0088318,0.0088318
61,1671.96,0.92862,1.00718,0.69147,1.00575,0.73074,0.69069,0.7256,0.47499,0.73816,0.69438,0.71465,0.37752,1.14347,1.20092,0.91107,1.21437,0.008812,0.008812,0.008812
62,1693.5,0.91096,1.01223,0.6692,0.99333,0.71933,0.67658,0.70871,0.46888,0.67353,0.69523,0.68918,0.36941,1.18818,1.24772,1.00161,1.25396,0.0087922,0.0087922,0.0087922
63,1715.12,0.90464,1.01695,0.66006,1.0007,0.69729,0.65643,0.68847,0.45346,0.69671,0.65526,0.67511,0.35781,1.19898,1.25364,1.06012,1.26198,0.0087724,0.0087724,0.0087724
64,1736.36,0.89402,1.00886,0.65614,0.99442,0.77037,0.6615,0.7227,0.48097,0.7799,0.66935,0.72292,0.39525,1.15876,1.19222,0.97432,1.24181,0.0087526,0.0087526,0.0087526
65,1757.91,0.89562,1.01112,0.66091,0.9954,0.64684,0.76408,0.71564,0.47063,0.67925,0.70445,0.69779,0.37367,1.17301,1.18391,0.96294,1.24033,0.0087328,0.0087328,0.0087328
66,1779.22,0.88062,1.01053,0.6549,0.98748,0.69717,0.69893,0.71084,0.47703,0.71027,0.71186,0.72156,0.38703,1.15425,1.2132,0.92184,1.24734,0.008713,0.008713,0.008713
67,1800.5,0.90607,1.02172,0.65966,0.99961,0.6617,0.72543,0.72337,0.46868,0.65038,0.71539,0.71382,0.37641,1.19496,1.2514,0.93204,1.25823,0.0086932,0.0086932,0.0086932
68,1821.82,0.88929,0.98526,0.64872,0.98859,0.71637,0.68854,0.71244,0.47178,0.70098,0.67266,0.69013,0.37441,1.18947,1.20831,0.91005,1.24253,0.0086734,0.0086734,0.0086734
69,1843.39,0.87891,0.99314,0.63939,0.98841,0.70753,0.71302,0.71906,0.4779,0.70508,0.71223,0.71701,0.38778,1.16061,1.2089,0.96724,1.23127,0.0086536,0.0086536,0.0086536
70,1864.88,0.8829,0.9953,0.62448,0.98137,0.7051,0.65346,0.66836,0.44357,0.69725,0.65187,0.66109,0.35823,1.22689,1.2762,1.13661,1.27121,0.0086338,0.0086338,0.0086338
71,1886.41,0.86421,0.98526,0.62292,0.9714,0.74125,0.72694,0.73814,0.49071,0.7491,0.7073,0.73053,0.40274,1.16608,1.21192,0.91861,1.24851,0.008614,0.008614,0.008614
72,1908.19,0.85916,0.97096,0.61887,0.97683,0.69935,0.74443,0.74758,0.50121,0.75973,0.69721,0.73745,0.41392,1.14501,1.16354,0.90097,1.24329,0.0085942,0.0085942,0.0085942
73,1929.81,0.86427,0.97157,0.61743,0.98159,0.71283,0.70994,0.72591,0.48359,0.7124,0.69966,0.71052,0.3858,1.17934,1.21052,0.93669,1.27816,0.0085744,0.0085744,0.0085744
74,1950.92,0.85436,0.97791,0.61321,0.9775,0.71283,0.72603,0.73629,0.49945,0.72958,0.70826,0.72952,0.40896,1.18218,1.16462,0.95886,1.26108,0.0085546,0.0085546,0.0085546
75,1972.08,0.86234,0.97045,0.61887,0.98222,0.69633,0.69837,0.70292,0.46309,0.69938,0.70875,0.69117,0.37181,1.20915,1.23352,0.95419,1.26824,0.0085348,0.0085348,0.0085348
76,1993.22,0.86575,0.99816,0.61626,0.97296,0.71717,0.74288,0.73956,0.48678,0.70393,0.72608,0.71704,0.38039,1.18814,1.28382,0.92602,1.25999,0.008515,0.008515,0.008515
77,2014.32,0.85658,0.97164,0.61448,0.96952,0.74261,0.71854,0.747,0.50035,0.78666,0.66545,0.72832,0.40622,1.16436,1.20998,0.88917,1.2427,0.0084952,0.0084952,0.0084952
78,2035.45,0.84614,0.96808,0.59764,0.96737,0.70038,0.70358,0.72739,0.483,0.70546,0.70865,0.70727,0.38767,1.19683,1.23182,0.93384,1.26281,0.0084754,0.0084754,0.0084754
79,2056.49,0.83703,0.95995,0.59449,0.96555,0.71389,0.69677,0.72501,0.48044,0.72697,0.68172,0.70648,0.39658,1.16656,1.20375,0.93936,1.23664,0.0084556,0.0084556,0.0084556
80,2077.47,0.83399,0.94588,0.58334,0.96852,0.75157,0.7062,0.73718,0.48578,0.75215,0.70561,0.72688,0.39847,1.16786,1.19332,0.90623,1.27195,0.0084358,0.0084358,0.0084358
81,2098.56,0.82804,0.9537,0.582,0.95679,0.73807,0.74059,0.76412,0.52013,0.79424,0.68295,0.75143,0.41342,1.14832,1.15067,0.87265,1.24605,0.008416,0.008416,0.008416
